b,c,d,e,f,g,h,i,j,k,l,m,n,q,r,s,x,y,z,aa,bb,cc,dd,att
udp,192.168.100.148,35040,192.168.100.6,80,9,540,INT,1528100693.520863,225161,41.712151,3.065896,1.588538,15.329481,0.0,4.638778,9,0,540,0,0.19179100000000002,0.19179100000000002,0.0,1
udp,192.168.100.46,3456,192.168.100.5,80,37382,37798489,CON,1526953085.29409,2,891.787659,4.963896,0.009217,883.573425,4.953397,4.998172,18691,18691,19061393,18737096,41.916927,20.957902999999998,20.957902999999998,0
udp,192.168.100.148,39186,192.168.100.7,80,2,120,INT,1528085832.4423552,221127,4.939280999999999,4.939280999999999,0.0,4.939280999999999,4.939280999999999,4.939280999999999,2,0,120,0,0.202459,0.202459,0.0,1
udp,192.168.100.147,57951,192.168.100.3,80,19,1140,INT,1528086342.5098462,68029,35.70327,4.138148,0.593591,24.828888,3.05743,4.845328,19,0,1140,0,0.504156,0.504156,0.0,1
tcp,192.168.100.6,80,192.168.100.3,80,965,285640,CON,1528086840.055751,2064,37.879490000000004,4.434366000000002,1.0295020000000001,35.474926,1.927472,4.9725730000000015,965,0,285640,0,25.449129,25.449129,0.0,0
udp,192.168.100.148,45784,192.168.100.3,80,24,1440,INT,1528086949.912892,95875,24.200603,3.8193910000000004,0.842252,19.096951999999998,2.523154,4.604807,24,0,1440,0,0.95039,0.95039,0.0,1
udp,192.168.100.147,39711,192.168.100.7,80,2,120,INT,1528101604.015566,202669,2.7794220000000003,2.7794220000000003,0.0,2.7794220000000003,2.7794220000000003,2.7794220000000003,2,0,120,0,0.35978699999999997,0.35978699999999997,0.0,1
udp,192.168.100.150,53527.0,192.168.100.5,80.0,2,120,INT,1528086208.142427,75218,5.425461,0.0,0.0,0.0,0.0,0.0,2,0,120,0,0.184316,0.184316,0.0,1
udp,192.168.100.148,55329,8.8.8.8,53,2,203,CON,1526962861.545489,19690,0.14313900000000002,0.14313900000000002,0.0,0.14313900000000002,0.14313900000000002,0.14313900000000002,1,1,64,139,6.9862160000000015,0.0,0.0,0
udp,192.168.100.3,41698,43.230.48.1,53,2,981,CON,1526955172.284039,4066,0.164961,0.164961,0.0,0.164961,0.164961,0.164961,1,1,94,887,6.0620389999999995,0.0,0.0,0
udp,192.168.100.7,53722,192.168.159.152,53,2,176,INT,1526877613.142409,18297,5.047926,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198101,0.198101,0.0,0
udp,192.168.100.149,47194,192.168.100.3,80,23,1380,INT,1528085762.303072,7576,21.447758,4.637506,0.46134200000000003,18.550026000000006,3.8386660000000004,4.917143,23,0,1380,0,1.0257479999999999,1.0257479999999999,0.0,1
udp,192.168.100.3,62220,205.251.198.239,53,2,467,CON,1526351818.469492,3730,0.352904,0.352904,0.0,0.352904,0.352904,0.352904,1,1,91,376,2.833632,0.0,0.0,0
udp,192.168.100.150,58379,8.8.8.8,53,2,203,CON,1526962861.232017,19686,0.007948,0.007948,0.0,0.007948,0.007948,0.007948,1,1,64,139,125.81781799999999,0.0,0.0,0
udp,192.168.100.7,39682,192.168.159.152,53,2,176,INT,1526877229.4632974,186,5.047942,0.0,0.0,0.0,0.0,0.0,2,0,176,0,0.198101,0.198101,0.0,0
udp,192.168.100.149,10311.0,192.168.100.5,80.0,3,180,INT,1528100519.554828,11625,14.197501,2.241843,2.241843,4.4836870000000015,0.0,4.4836870000000015,3,0,180,0,0.14087,0.14087,0.0,1
udp,192.168.100.150,52938,8.8.8.8,53,2,172,CON,1526344356.2417278,4139,0.00725,0.00725,0.0,0.00725,0.00725,0.00725,1,1,86,86,137.931046,0.0,0.0,0
udp,192.168.100.148,45769,192.168.100.3,80,24,1440,INT,1528086949.912885,95860,24.200605,3.8201680000000002,0.842915,19.100839999999998,2.5231529999999998,4.604807,24,0,1440,0,0.9503889999999999,0.9503889999999999,0.0,1
udp,192.168.100.147,44097,8.8.8.8,53,2,227,CON,1526963763.147965,265,0.14361500000000002,0.14361500000000002,0.0,0.14361500000000002,0.14361500000000002,0.14361500000000002,1,1,76,151,6.9630600000000005,0.0,0.0,0
udp,192.168.100.148,59208,192.168.100.3,80,10,600,INT,1528099938.6635199,206224,23.25184800000001,3.599506,1.039205,14.398025,2.471445,4.697331,10,0,600,0,0.38706599999999997,0.38706599999999997,0.0,1
udp,192.168.100.147,51383,8.8.8.8,53,2,340,CON,1526981404.296866,46853,0.262178,0.262178,0.0,0.262178,0.262178,0.262178,1,1,81,259,3.814203,0.0,0.0,0
udp,192.168.100.46,3456,192.168.100.5,80,16195,15754629,CON,1528087509.471821,268,105.160881,4.768779,1.014988,104.913147,0.11753800000000005,4.995193,8098,8097,7694902,8059727,153.99263,76.996315,76.986801,0
udp,192.168.100.148,29675,192.168.100.3,80,11,660,INT,1528099572.699486,187239,21.469763,3.39345,1.025037,13.573799,1.624666,4.071626999999999,11,0,660,0,0.465771,0.465771,0.0,1
udp,192.168.100.147,499,192.168.100.3,80,15,900,INT,1528099366.804948,71020,13.955564,3.981923,0.8245389999999999,11.945768,2.976169,4.995817,15,0,900,0,1.003184,1.003184,0.0,1
udp,192.168.100.148,36297,192.168.100.5,80,12,720,INT,1528100186.176372,108914,36.323017,2.4734,1.895673,14.840403,0.0,4.3892050000000005,12,0,720,0,0.302838,0.302838,0.0,1
udp,192.168.100.148,54666,144.48.166.166,123,2,180,CON,1526896946.3684616,58,0.016194,0.016194,0.0,0.016194,0.016194,0.016194,1,1,90,90,61.751263,0.0,0.0,0
